,index,Neighborhood,OccurMonth_Year,Matched_Names,Animal Cruelty Offenses,Arson,Assault Offenses,Bribery,Burglary,Counterfeiting/Forgery,Drug/Narcotic Offenses,Embezzlement,Extortion/Blackmail,Fraud Offenses,Gambling Offenses,Homicide Offenses,Human Trafficking Offenses,Kidnapping/Abduction,Larceny Offenses,Motor Vehicle Theft,Pornography/Obscene Material,Prostitution Offenses,Robbery,Sex Offenses,Stolen Property Offenses,Vandalism,Weapon Law Violations,Total_Offenses,Average Radiance Per Pixel Per month,avg_home_price,median_home_price,average_cost_per_foot,days_on_market,homes_sold_2017,condo_sales,distressed_property_sales,year_built,adj_popn,adj_popn_pe_sq_mi,median_age,median_household_income,home_ownership,married,divorced,widowed,seperated,never_married,popn_bachelors_degree_perc,popn_graduate_degree,median_monthly_housing_expenses,people_below_poverty,unemployed_perc,english_perc,perc_households_children,x,perc_diff_county_last_year,perc_diff_state_last_year,total_newcomers_perc,x.1,parks_perc,x.2,commute_by_public_transit,commute_by_bike_perc,commute_by_walking_perc,commute_biking_walking_perc,miles_bike_route_per_sqkm,walk_score
0,0,ALAMEDA,2015-07,ALAMEDA,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,15.004551682105436,709588,685000,257,23,82,0,1,1928,5622,9421,41,105242,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0,0,13,8.6,12.2,3.3,15.5,1.24,65
1,1,ALAMEDA,2015-08,ALAMEDA,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,15.694406174980994,709588,685000,257,23,82,0,1,1928,5622,9421,41,105242,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0,0,13,8.6,12.2,3.3,15.5,1.24,65
2,2,ALAMEDA,2015-09,ALAMEDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,13.273378893298245,709588,685000,257,23,82,0,1,1928,5622,9421,41,105242,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0,0,13,8.6,12.2,3.3,15.5,1.24,65
3,3,ALAMEDA,2015-10,ALAMEDA,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,13.110717514908282,709588,685000,257,23,82,0,1,1928,5622,9421,41,105242,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0,0,13,8.6,12.2,3.3,15.5,1.24,65
4,4,ALAMEDA,2015-11,ALAMEDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.3340722410369,709588,685000,257,23,82,0,1,1928,5622,9421,41,105242,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0,0,13,8.6,12.2,3.3,15.5,1.24,65
5,5,ALAMEDA,2015-12,ALAMEDA,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,19.30752130098621,709588,685000,257,23,82,0,1,1928,5622,9421,41,105242,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0,0,13,8.6,12.2,3.3,15.5,1.24,65
6,6,ALAMEDA,2016-01,ALAMEDA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,18.41608680704861,709588,685000,257,23,82,0,1,1928,5622,9421,41,105242,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0,0,13,8.6,12.2,3.3,15.5,1.24,65
7,7,ALAMEDA,2016-02,ALAMEDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.475634386178989,709588,685000,257,23,82,0,1,1928,5622,9421,41,105242,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0,0,13,8.6,12.2,3.3,15.5,1.24,65
8,8,ALAMEDA,2016-03,ALAMEDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,14.2481299777246,709588,685000,257,23,82,0,1,1928,5622,9421,41,105242,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0,0,13,8.6,12.2,3.3,15.5,1.24,65
9,9,ALAMEDA,2016-04,ALAMEDA,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,12.471959858294824,709588,685000,257,23,82,0,1,1928,5622,9421,41,105242,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0,0,13,8.6,12.2,3.3,15.5,1.24,65
